symbol,kite_tradingsymbol,kite_instrument_token,breeze_stock_code,closing_price,avg_volume_per_minute,price_date,has_both_codes,kite_name
GRANULES,GRANULES,3039233,GRANUL,578,2557.04,2026-02-10,True,GRANULES INDIA
DCXINDIA,DCXINDIA,3045121,DCXSYS,170.6,1380.11,2026-02-10,True,DCX SYSTEMS
GENUSPOWER,GENUSPOWER-BE,3048449,GENOVE,280.85,1466.1,2026-02-10,True,GENUS POWER INFRASTRU
GOLDIAM,GOLDIAM,3064577,GOLINT,414.45,15728.27,2026-02-10,True,GOLDIAM INTERNATIONAL
ICIL,ICIL,3068673,INDCOU,298.5,1720.0,2026-02-10,True,INDO COUNT INDUSTRIES
FIVESTAR,FIVESTAR,3080193,FIVSTA,439.5,3610.07,2026-02-10,True,FIVE-STAR BUS FIN
KAYNES,KAYNES,3095553,KAYTEC,3955,7149.81,2026-02-10,True,KAYNES TECHNOLOGY IND
SWSOLAR,SWSOLAR,3197185,STEWIL,209.1,8691.87,2026-02-10,True,STRLNG & WIL REN ENE
360ONE,360ONE,3343617,IIFWEA,1161,2788.79,2026-02-10,True,360 ONE WAM
IIFLCAPS,IIFLCAPS,3346433,IIFSEC,341.65,1684.96,2026-02-10,True,IIFL CAPITAL SERVICES
EKC,EKC,3351297,EVEKAN,129.35,1893.35,2026-02-10,True,EVEREST KANTO CYLINDERLTD
KEC,KEC,3394561,KECIN,623.4,1522.4,2026-02-10,True,KEC INTL.
M&MFIN,M&MFIN,3400961,MAHFIN,391.5,7774.7,2026-02-10,True,M&M FIN. SERVICES
KFINTECH,KFINTECH,3419905,KFITEC,1023.3,3572.79,2026-02-10,True,KFIN TECHNOLOGIES
SUNTV,SUNTV,3431425,SUNTV,614.25,8320.83,2026-02-10,True,SUN TV NETWORK
GPIL,GPIL,3432705,GODPOW,260,10139.68,2026-02-10,True,GODAWARI POW & ISP
JKLAKSHMI,JKLAKSHMI,3453697,JKLAKS,744,2031.69,2026-02-10,True,JK LAKSHMI CEMENT
PFOCUS,PFOCUS,3454977,PRIFOC,265,25116.47,2026-02-10,True,PRIME FOCUS
EMAMILTD,EMAMILTD,3460353,EMALIM,498.55,2674.72,2026-02-10,True,EMAMI
TECHM,TECHM,3465729,TECMAH,1646,3925.51,2026-02-10,True,TECH MAHINDRA
IRCTC,IRCTC,3484417,INDRAI,635.4,5136.06,2026-02-10,True,INDIAN RAIL TOUR CORP
ANANTRAJ,ANANTRAJ,3486721,ANARAJ,566.65,13420.51,2026-02-10,True,ANANT RAJ
SKYGOLD,SKYGOLD,3489537,SKYGOL,325.35,5576.5,2026-02-10,True,SKY GOLD AND DIAMONDS
JMFINANCIL,JMFINANCIL,3491073,JMFINA,139.86,48766.34,2026-02-10,True,JM FINANCIAL
ELECON,ELECON,3492609,ELEENG,469,2523.5,2026-02-10,True,ELECON ENG. CO.
DCBBANK,DCBBANK,3513601,DCB,198.54,10716.29,2026-02-10,True,DCB BANK
NAUKRI,NAUKRI,3520257,INFEDG,1196.6,5063.4,2026-02-10,True,INFO EDGE (I)
GESHIP,GESHIP,3526657,GESHIP,1341.5,2304.4,2026-02-10,True,THE GE SHPG.LTD
TORNTPOWER,TORNTPOWER,3529217,TORPOW,1485.7,3445.65,2026-02-10,True,TORRENT POWER
LTFOODS,LTFOODS,3536897,LTOVER,412.75,2879.95,2026-02-10,True,LT FOODS
AARTIPHARM,AARTIPHARM,3550209,AARPHA,762.8,1463.03,2026-02-10,True,AARTI PHARMALABS
